number,name,description,image
5559N-96*,Arasina Collection,"Boldly designed, richly finished and beautifully accented, the unique aesthetic of the Arasina Collection is for sure to draw your eye. The heavily appointed base supports of the table featuring a dark pewter-finished metal trestle that connects the two pedestals. Wire-brushed distressing provides texture to the acacia veneer of the table and pine of the accompanying chairs. The side chairs and optional bench takes shape with inspiration drawn from church pews, featuring cut-away accent that lend elegant, natural beauty to your dining room. The French provincial inspired routing lends decorative touch to the accompanying server, while drawer and door storage, along with wine bottle and wine glass display to create ample storage space within your dining room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5559N-96.jpg
8401-3SC,Slater Collection ,"Customizable for your modest space, the Slater Collection features an end chaise that allows you to stretch out. Covered with greyish brown fabric seating and dark brown bi-cast vinyl accent, the modern lines of this seating group are further enhanced by track arms. The chaise can be configured as right or left side placement based on the needs of your space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8401-3SC.jpg
4611PU,Wichfield Collection ,"The Wichfield Collection provides a multi-functional option for your casual living space. Utilized as seating, storage ottoman or cocktail table, the unit-s lift-top function opens to reveal modest storage space, while the padded dark brown bi-cast vinyl-covered top provides comfort in those times that additional seating space is needed. Further enhancing the function of this piece is the wood display shelf that is finished in warm brown cherry.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4611PU.jpg
B2043FF-1,Bartly Collection ,"With options that allow for the perfect placement within your bedroom is the Bartly Collection. This transitional bedroom group is featured in a natural pine finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations - along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds - toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/B2043FF-1.jpg
4614-F3,Fedora Collection ,Providing a stylish and function addition to your home is the Fedora Collection. Designed for placement in a number of settings the top opens to reveal ample storage for your personal items. The ottoman is offered in the neutral tones of grey or brown for further decorative flexibility.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4614-F3.jpg
5609-48*,Ante Collection,"Gathering your friends and family for a friendly game will be easier with the addition of the Ante Collection. The dual sided tabletop features birch veneer on one side and a wood and padded velvet on the other side. Decorative elements include nailhead accent, bi-cast vinyl covered button tufted arm chairs, velvet playing surface and pedestal base –with decorative bolt. Functional elements include caster chairs and routed accent for easy storage of your playing chips and beverage.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5609-48.jpg
5600-36RD*,Cirrus Collection,"Industrial aesthetic is used as an inspiration in the design of the Cirrus Collection. Metal tube framing supports the adjustable height table top and stool seats in this unique dining offering. The pine veneer of the table and stool tops is finished in a weathered gray furthering the industrial look and feel. Versatile to meet the needs of your lifestyle, the adjustable height allows you to customize your dining experience.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5600-36RD.jpg
1977T-1,Aviana Collection ,"Created for the traditional bedroom, the Aviana Collection is a study in classic styling and modern presentation. An antiqued gray finish provides an open canvas for your personal decorative touch. Carved feet support classically styled case goods - each featuring teardrop hardware with an antiqued pewter finish. Raised panels further the traditional look of the case piece drawer fronts. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1977T.jpg
1919-1,Antoinetta Collection ,"Traditional elements of Old World European styling are blended to create the look of the Antoinetta Collection. Acanthus leaf motif as well as bead and heavily carved moldings serve as the initial draw to the traditional design. Canted pilasters, marble tops, sunburst medallion, and classic button and bale hardware further accent the case goods. Cherry veneers and burl inlay are highlighted by a warm cherry finish with gold tipping.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1919.jpg
1737NC-1,Lyric Collection ,"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix makes the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist - satin nickel hardware accents the glossy white or dark espresso finish, bow-front case pieces feature ball bearing drawer glides and compliment the padded sleigh headboard & footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final unique addition to the collection is the glass-topped night stand that furthers the contemporary feel.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1737NC-1.jpg
5438-96,Toulon Collection ,"Bold curves provide elegant contrast to the unique look of the Toulon Collection. The heavily scrolled base supports of the table feature routing with dark pewter-finished metal trestle that connects. Wire-brushed distressing provides texture to the acacia veneer of the table and pine of the accompanying chairs. The optional bench takes shape with inspiration drawn from church pews, allowing for a look that will add a special touch to your dining room. The French provincial inspired routing lends decorative touch to the accompanying server, while dual drawer and door storage provides ample space to stow your tabletop accessories.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5438-96.jpg
9668BRW,Center Hill Collection ,"With plush seating that is uncommon in most traditional looks, the design of Center Hill Collection will be a welcome addition to your living room. Offered in bonded leather match, the covering comes in either dark brown or black. With traditional nailhead accent lending an elegant statement to each piece and the easy recline mechanisms adding to the comfort, the lovely Center Hill Collection will provide your friends and family a warm environment to spend their quality moment.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9668BRW_3468-30_2014S-12.jpg
1356BK-1,Morelle Collection ,The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1356BK-1.jpg
2147W-1,Mayville Collection ,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2147W.jpg
5581-54*,Ibiza Collection,"Modern design is elegantly achieved in the Ibiza Collection. The wood tabletop’s ash quarter matched veneer features a light oak finish that plays effortlessly against the stainless steel table base – a design that carries over to the accompanying server. There are two table options available – a rectangular or round table - for perfect placement within your available space. The available arm and side chairs, as well as the bench, all feature a neutral tone fabric covering that lends understated elegance to the look of the collection. The server features drawer and door storage allowing for additional space within your dining room to store your tabletop accessories.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5581-54.jpg
1919NC-1*,Antoinetta Collection,"Traditional elements of Old World European styling are blended to create the look of the Antoinetta Collection. Acanthus leaf motif as well as bead and heavily carved moldings serve as the initial draw to the traditional design. Canted pilasters, marble tops, sunburst medallion, and classic button and bale hardware further accent the case goods. The heavily framed headboard features champagne-tone bonded leather with crystal button tufting. Birch veneers is highlighted by a champagne finish with accentuating tipping.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1919NC-1.jpg
5492-52*,Edam Collection,The classic elements of mid-century modern design are harnessed to create the look of the Edam Collection. The classic style of this casual dining table features a modified X-base and subtly tapered round tabletop with neutral toned fabric and wood chairs that provide complementing contrast. The accompanying server has door and drawer storage along with a removable wine rack.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5492-52.jpg
5576RD*,Hamar Collection,"Mid-Century modern design is perfectly executed in the design of the Hamar Collection. The naturalfinish of the beech veneer provides a light and airy feel to any space while the gray seats provide casualcontrast. Scaled for smaller spaces that are big in design, the Hamar Collection will be a welcomeaddition to your home’s décor.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5576.jpg
8211,Welty Collection ,"Functionality plays a role in the homes of many, whether entertaining overnight guests or seeking the ultimate in lounging as you unwind from a busy day. The Welty collection will provide not only a comfortable spot for your entertaining and relaxation needs, but a functional addition to your casual living space. With a pull of the under storage pop-up ottoman, the seating group becomes a platform that can serve as a lounger or bed. The chaise seat lifts to reveal under storage that is perfect for blankets or extra pillows for your overnight guest. The fabric covering is offered in fossil, an earthy tone for a neutral addition that is perfect for your home's décor.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8211.jpg
5581-84*,Ibiza Collection,"Modern design is elegantly achieved in the Ibiza Collection. The wood tabletop’s ash quarter matched veneer features a light oak finish that plays effortlessly against the stainless steel table base – a design that carries over to the accompanying server. There are two table options available – a rectangular or round table - for perfect placement within your available space. The available arm and side chairs, as well as the bench, all feature a neutral tone fabric covering that lends understated elegance to the look of the collection. The server features drawer and door storage allowing for additional space within your dining room to store your tabletop accessories.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5581-84.jpg
1722-1*,Langsat Collection,"Book-match mindy veneer immediately draws your eye to the transitionally styled Langsat Collection. The versatile brown finish combined knob hardware, bun feet and classic framing make this bedroom group a welcome addition in a number of home styles. Functional hidden drawers are featured in the nightstand and dresser, providing discrete storage space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1722-1.jpg
1867-102,Florentina Collection ,"The elaborate designs of Old World Europe are treated with a distinct modern touch in the Florentina Collection. The elegant pedestal base table serves as the focal point of this stunning dining offering. With details such as shell and acanthus leaf scrolling which grace the table’s apron to the eye-catching jewel tufting of the accompanying chairs, which reflect with a brilliance intended to accentuate the dusky taupe coloring of the faux silk and the rich silver – with gold undertone – finish of the wood veneer. The acanthus motif is carried over to the display china, that along with carved cabriole feet, delicately designed knob hardware, glass shelving, and drawer storage, complete the traditional look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1867-102.jpg
1255F1S,Alta Collection ,"Blending the comfort of a lounge chair with the functionality of the internal lift mechanism, the Alta Collection will be a welcome addition to your home. With an electric mechanism that, with a push of a button, takes you from fully reclined to standing, this chair aids in your mobility. The lift chair is offered in dark brown bi-cast vinyl, with contrast stitching, for versatile placement in your transitional to contemporary home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1255F1S 1249F1S.jpg
5547-36*,Mantello Collection,"Transitionally styled for your home is the Mantello Collection. Offered in traditional dining height and counter height options, the collection’s cherry finish over mango veneer and classic styling will provide the perfect platform for your mealtime gatherings. Dark brown bi-cast vinyl covers the available side chairs and bench offerings – traditional flat seat bench for the dining height table and wood-backed seat bench for the counter height table. – with the selection of seating being configurable to your specific wants and needs. The available server provides functional storage for your tabletop accessories as well as wine bottle rack and glass display.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5547-36.jpg
5491-48,Massey Collection ,"Designed for the more modest of contemporary dining spaces, the Massey Collection will provide big style for the space it occupies. An intertwined espresso-finished X-base supports a round glass top for maximum style. Four neutral toned arm chairs provide stylish support while you and guests enjoy a meal and conversation.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5491-48 5491A.jpg
1832-1*,Cranfills Collection,"Providing a bold look with distinct accent and traditional shape, the Cranfills Collection will transform your bedroom. Enlarged crocodile embossing immediately draws your eye to the side paneling of the case goods and the framed headboard of the panel bed. With the pull of a handle, the illusion of multiple drawers is transformed to reveal the unique fronts of the amply appointed functional storage. Additional space to store your personal items comes in the form of the storage footboard. The warm distressed cherry finish completes the look of the Cranfills Collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1832-1.jpg
2042-1,Woodrow Collection ,Industrial design is subtly used to achieve a cool look for your bedroom in the Woodrow Collection. Dark metal hardware and corner banding with rivet look lend to the casual look of this bedroom group. Melamine laminate features a weathered-wood look that furthers the intended design. Black bi-cast vinyl accents of the headboard provides distinct complementing contrast to the finish of the collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2042-1.jpg
5592,Westerlyn Collection,"Scaled for the smaller dining space, and utilizing industrial influence, the Westerlyn Collection will be a cool addition to your home’s décor. Crafted of wood and metal, the stool seating tucks neatly under the tabletop. Pine veneer on the table’s top and stool seats is features a burnished finish that is accented by the black metal framing.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5592.jpg
8545-1LT,Kellen Collection ,"Creating a platform for your mobility is the Kellen Collection. The dark brown bonded leather covering is highlighted by transitional styling, making this not only a functional choice but one that is compatible with numerous home decors. The power lift mechanism takes you from fully reclined to a standing position.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8545-1LT shot2_mixing photo_2014S-124.jpg
5531-112,Chilton Collection ,"Old world European Grandeur is exemplified in the design of the Chilton Collection. Traditional decorative elements come into play throughout the entire collection – egg & dart molding, acanthus leaf carving, floral medallions, bead molding – creating a look that will lend opulent styling to your classic dining room. Shield back dining chairs feature a neutral tone upholstered seat and are supported by intricately carved legs. A double pedestal base supports the 112-inch table top. Lending additional function to the collection is the china, with its impressive stature, featuring behind glass display storages as well as drawer and behind wood door storage. The traditional cherry finish features elegant gold tipping synonymous with the classic styling of this opulent dining collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5531-112.jpg
5569-78*,Avenhorn Collection,Modern styling is softened with the juxtaposition of metal and wood in theAvenhorn Collection. The wood table top and flanking chairs feature a gray finishthat clearly accentuates the distinct grain pattern. Black finished metal framingsupports both the table and available server. The gray fabric that covers the sideand arm chairs creates additional visual contrast to the collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5569-78.jpg
1294GY-1,Basseri Collection,"Created for the ultra-modern home, the Basseri Collection is a sleek accent to your contemporary lifestyle. Chrome legs support the chair with optional brown or dark gray bi-cast vinyl lending to the sleek look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1294GY-1.jpg
5627W-36*,Willow Bend Collection,"Inspired by the aesthetic of a casual country kitchen, the Willow Bend Collection is an inviting gathering spot for mealtime with family and friends. The collection is offered in two table configurations – first, a traditional dining height leg table with 6 drawers located on the apron; the second, a counter height with 4 drawers on the apron and storage display shelf base. The two-tone look of the acacia and pine solids base, finished in antique white, and the elm veneer of the table’s top, finished in a rosy brown, present as a harmonious combination of color. The neutral tone of the side chair’s fabric blends effortlessly with the look. Providing ample storage space for your tabletop accessories is the 3-door server.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5627W-36.jpg
5603-36*,Timbre Collection,The multifunctional design of the Timbre Collection will be the perfect addition to your dining nook. A built-in bookcase provides open display space to this counter height offering. Wire brushed acacia veneer is highlighted by a gray finish. Textured vinyl seats top the accompanying stools and features nailhead accent for added decorative flair.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5603-36.jpg
3614-01,Akita Collection,"The modern design that inspires your home's aesthetic will also serve to lend function to your living room's décor with the addition of the Akita Collection. Tucked neatly beneath the cocktail table are 4 stools that provide additional seating space. Each table in the collection features an inset glass accent – round on both the cocktail and end tables, oval on the sofa table – and cherry finish that highlights the distinct veneer pattern.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3614-01.jpg
5604-36*,Brindle Collection,"The counter height design of the Brindle Collection will provide the perfect platform for your mealtime experience. The transitional styling of the table combined with the cherry finish creates a versatile look that would be at home in a number of decorative environments. Textured vinyl covers the accompanying barstools and features nailhead accent for added decorative flair. Additional functionality comes in form of the unique server. Mounted on casters, the unit stores beneath the table for easy access. The wine rack and open display shelves of the moveable server provide that extra storage space that all households need.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5604-36.jpg
5562-96*,Oratorio Collection,"The modern traditional styling of the Oratorio Collection paired with two distinct table offerings allow the creationof your dream dining room. Cherry finish over cherry veneer lends a classic look to the unique design of therectangular pedestal table and round table’s pedestal base. The ring shape of the rectangular table’s base providesdistinct character while the substantial profile of the round table’s pedestal base lends sturdy, yet stylish support. Theside chairs that flank the rectangular table feature neutral toned fabric and nailhead, complementing the sophisticateddesign. Barrel back, contoured swivel chairs surround the round table lending motion and unique design to thecollection. An available server provides ample storage space for your tabletop accessories.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5562-96.jpg
5627W-72*,Willow Bend Collection,"Inspired by the aesthetic of a casual country kitchen, the Willow Bend Collection is an inviting gathering spot for mealtime with family and friends. The collection is offered in two table configurations – first, a traditional dining height leg table with 6 drawers located on the apron; the second, a counter height with 4 drawers on the apron and storage display shelf base. The two-tone look of the acacia and pine solids base, finished in antique white, and the elm veneer of the table’s top, finished in a rosy brown, present as a harmonious combination of color. The neutral tone of the side chair’s fabric blends effortlessly with the look. Providing ample storage space for your tabletop accessories is the 3-door server.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5627W-72.jpg
5584*,Coel Collection,The design of the Coel Collection invokes the cool and minimalist aesthetic that is synonymous with Mid-Century modern style. Contoured chairs feature black bi-cast vinyl seats and backs. Ash veneer is highlighted with a dark finish to complete the look.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5584.jpg
5548-72*,Stratus Collection,"Mid-century modern styling creates the inspiration of the design of the Stratus Collection. The dark finish of the ash veneer highlights the wood grain in this sleek collection. Arm chairs, side chairs and available bench are covered in a dark gray fabric that provides contrast to the finish of the table and allow you to customize your seating experience.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5548-72.jpg
2147-1,Mayville Collection ,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2147-1.jpg
5873N-1,Elista Collection ,Modern styling combined with the look of tailored menswear creates a uniquely appointed offering for your bedroom in the Elista Collection. Dark gray tweed fabric is interwoven to create eye-catching drama on the headboard and footboard. The collection also features a coordinating bench and stool.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5873N-1.jpg
5613*,Paran Collection,Capturing the essence of Mid-century modern design is the Paran Collection. The natural finish of the walnut veneer allows for the distinct wood veneer to shine. Dark vinyl seat provide stark contrast to the light finish of the wood. Subtle rounded curves and angled legs further the classic look of the Paran Collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5613.jpg
2046T-1,Garcia Collection ,"Transitionally styled for your bedroom is the Garcia Collection. Created for versatile placement within a number of environments the louvered panel accents, distinct framing along with a cool gray finish over birch veneer combine to provide a clean palate for your personal decorative style. Nickel knob hardware provides subtle, yet distinct, contrast to the fronts of each case piece. The available desk is a functional addition to the collection with keyboard tray and drawer storage. The collection is offered in twin, full, queen, eastern king and california king for the perfect fit within your bedroom.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2046-1.jpg
8202GRY-SC,Sinclair Collection ,"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8202GRY-TS 8202GRY-CA_.jpg
5438-30,Toulon Collection ,Bold curves provide elegant contrast to the unique look of the Toulon Collection. The heavily scrolled base supports of the tables feature French provincial inspired routing while wire-brushed distressing provides texture to the acacia veneer of this elegant occasional collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5438-30.jpg
1292-1,Prado Collection,"Dramatically styled, the Prado Collection not only serves to support you while you have your conversations, it becomes an artful conversation piece itself. This flared wood seat’s unique styling is supported by tri-pod inspired legs and padded seat and back covered with dark brown AireHyde.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1292-1.jpg
8014,Lenore Collection ,"Designed to serve as the focal point of your entertainment room, the Lenore Collection will provide a functional and stylish platform to display your TV, decorative accents and media consoles. Transitional accents such as bun feet, metal knob hardware and a rich cherry finish lend to the classic look. A lighted bridge highlights the display shelf, each providing support to join the two side unit bookcases. Glass and solid door storage, along with the shelving of the bookcases, provides ample storage for your display accents.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8014.jpg
9739CH,Brooks Collection ,"Relaxation is serious business. Serious comfort is what the Brooks Collection offers in this substantially sized upholstered seating group. Channel-tufting covers the pillow arms, overstuffed cushions and is offered in either dark brown or red bonded leather - or our new chocolate brown textured plush microfiber option. The unique feature of this collection is the wide chaise that extends from the sectional sofa. The coordinating ottoman tucks neatly into the face of the sofa, effectively extending your lounging space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9739CH Shot1_2014S-63.jpg
8327DBR,Deryn Collection,"Mid-Century modern design is the inspiration for the Deryn Collection. Synonymous with this classic style are the wide, dramatically curved arms rising to the straight back along with the angled wood legs that provide support. The frame selection - sectional, sofa, love seat and chair - combined with the available cover options - dark brown or black leather gel match, teal, beige or gray fabric - allows for a versatile selection of seating that fits perfectly within your living space. Tailored stitch tufting and coordinating accent chairs - in teal or gray herringbone - lend additional defining accent to this thoroughly modern collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8327DBR-3.jpg
5614-72*,Wieland Collection,"Styled for the transitional home, the Wieland Collection creates a classic profile for your casual dining area. The trestle base of the table paired with the mindy veneer, light rustic brown finish and dark brown bi-cast vinyl seats create at table that is stylistically perfect for your environment. Furthering the design is the butterfly leaf that conveniently stores beneath the table’s top. The side chairs and available bench feature padded dark brown bi-cast vinyl seats.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5614-72.jpg
5163-48*,University Collection,"Perfectly scaled to seat four, the transitionally styled University Collection will be the perfect addition to your cozy diningspace. Book-matched mindy veneer is highlighted with a gray finish. The chair seats and backs are covered in a neutral grayfabric, providing perfect complement to the table.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5163-48.jpg
5514-72*,Salema Collection,"Blending transitional elements with traditional lines and modern flair creates the unique look of the Salema Collection. The dark brown finish of the wood base is visible through the beveled glass tabletop. The contoured back side chairs, offered in 4 distinct colors-Red, Blue, Chocolate and Gray, provide visual contract.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5514-72.jpg
5595GY-87*,Chromis Collection,"The design and function of the Chromis Collection can only be described as ultra-modern. Chrome legs support the gray glass tabletop in this sleek dining offering. An easy glide mechanism allows for the extension of the tabletop, exposing and automatically raising, and or lowering, the self-storing leaf. Gray bi-cast vinyl seats are supported by chrome finished legs, perfectly complementing the modern look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5595GY-87.jpg
5578-32,Visby Collection,"Transitionally styled for smaller-scale dining spaces is the Visby Collection.This 4-piece dining group features a counter height table, two stools and onebench. The brown finish further lends versatility, being a neutral palette for yourdecorative preference.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5578-32.jpg
35810-T60,Chehalis Collection ,"With a design that is inspired by the traditional look of Craftsman furniture, the Chehalis Collection features slate inlay on the console front, and a brown cherry finish that enhances the oak veneers of this well-appointed entertainment offering. At sixty inches wide, the unit provides a significant platform for your television. Door storage features prominently as does the open media storage.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/35810-T60.jpg
5099-15,Millwood Collection ,"With a look that blends the transitional design element of wood and accenting that lends to a modern traditional aesthetic, the Millwood Collection will help to create the ambiance that you are looking to achieve in your home or office. The decorative metal base and framing of the collection provides an industrial feel, lending to the casual contrast of the distressed ash veneer of the shelving and handscraped weathered tops.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5099-15.jpg
B2008TF-1,Division Collection ,"Reaching for new heights in your child-s bedroom is the Division Collection. Allowing for creative placement in the room and separate from the structure of this unique metal bunk system is a full bed. Perched above the built-in student desk is the twin bed. With metal framing that lends an air of contemporary style and a light graphite finish, this cool loft bed will serve your family for many years to come.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/B2008TF.jpg
3270-48,Archstone Collection,"Contemporary design, sleek seating and the combination of black finish with white accents are all the ingredients you need to create a stylish setting for exceptional dining. The white faux marble top pairs perfectly with a cut out center chair back, the color contrast and stylish design create a rich visual enhancement. Chairs are available in white bi-cast vinyl and black bi-cast vinyl.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3270-48_W.jpg
5473-103,Lordsburg Collection ,Elegantly designed for the traditional dining room is the Lordsburg Collection. Supported by the double pedestal base is the table’s top where the magnificent parquet veneer is highlighted by the brown cherry finish that covers the collection. Heavily carved molding provides distinct accent to the table’s top while dark brown faux leather covers the seats and backs of the coordinating wood-framed chairs. The accompanying hutch and buffet provide ample storage space for your tabletop accessories.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5473-103.jpg
5626-70*,Palladium Collection,"The classic look of mid-century inspired design is updated for the modern era in the Palladium Collection. Elm solids are finished with a gray tone that enhances the natural wood grain. Gray powder coated metal legs provide complementing contrast to the elm solids of the table’s top, which is finished with a gray tone, enhancing the natural wood grain. The gray fabric of the chairs is contrasted by the metal support legs.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5626-70.jpg
5607-36RD*,Chevre Collection,The Chevre Collection will be a perfect addition to your cozy dining space. The burnished finish of the pine solids and veneers is perfectly complemented by the dark metal of the collection’s framing. The rustic industrial styling makes this smaller scale collection a big addition to your dining area.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5607-36RD.jpg
5575*,Misa Collection,"Keeping to the classic styling of mid-century modern aesthetics, the Misa Collection creates dramatic flairfor your casual dining space. The white tabletop of the collection is perfectly contrasted by the naturalfinish of the beech veneer that covers the table and coordinating chairs. Contoured chair backs provide avisual break from the A-frame leg supports and sleek lines of the table.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5575.jpg
2458,Andover Collection ,Your cozy breakfast nook will be complete with the Andover Collection. The transitional pedestal base lends a casual feel to this five-piece offering. The table and spindle-back chairs are featured in an antique oak and black two-tone finish.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2458.jpg
5543-30,Tarantula Collection ,"These old world Mediterranean styled tables are rich in the heritage look. Featuring in a burnish brown cherry finish and a beveled marble top, the classy look of Tarantula Collection is timeless.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5543-30.jpg
